Navn;Stasjon;Tid(norsk normaltid);Minimumstemperatur (døgn)
Kjevik;SN39040;18.03.2022;2,7
Kjevik;SN39040;19.03.2022;-3,1
Kjevik;SN39040;20.03.2022;-3
Kjevik;SN39040;21.03.2022;0,3
Kjevik;SN39040;22.03.2022;-1,1
Kjevik;SN39040;23.03.2022;-3,6
Kjevik;SN39040;24.03.2022;-2,1
Kjevik;SN39040;25.03.2022;-1,9
Kjevik;SN39040;26.03.2022;6,4
Kjevik;SN39040;27.03.2022;-0,3
Kjevik;SN39040;28.03.2022;5,1
Kjevik;SN39040;29.03.2022;-3,2
Kjevik;SN39040;30.03.2022;-2,7
Kjevik;SN39040;31.03.2022;-5,8
Kjevik;SN39040;01.04.2022;-4,4
Kjevik;SN39040;02.04.2022;-6
Kjevik;SN39040;03.04.2022;-3,8
Kjevik;SN39040;04.04.2022;3,5
Kjevik;SN39040;05.04.2022;-0,5
Kjevik;SN39040;06.04.2022;-3,2
Kjevik;SN39040;07.04.2022;0,4
Kjevik;SN39040;08.04.2022;-0,6
Kjevik;SN39040;09.04.2022;0,4
Kjevik;SN39040;10.04.2022;3,6
Kjevik;SN39040;11.04.2022;0,2
Kjevik;SN39040;12.04.2022;-2,7
Kjevik;SN39040;13.04.2022;4,6
Kjevik;SN39040;14.04.2022;4,3
Kjevik;SN39040;15.04.2022;0,7
Kjevik;SN39040;16.04.2022;-3,2
Kjevik;SN39040;17.04.2022;-0,6
Kjevik;SN39040;18.04.2022;-2,3
Kjevik;SN39040;19.04.2022;-1,2
Kjevik;SN39040;20.04.2022;0,4
Kjevik;SN39040;21.04.2022;4
Kjevik;SN39040;22.04.2022;5
Kjevik;SN39040;23.04.2022;6,5
Kjevik;SN39040;24.04.2022;5
Kjevik;SN39040;25.04.2022;-1,3
Kjevik;SN39040;26.04.2022;1,3
Kjevik;SN39040;27.04.2022;0,4
Kjevik;SN39040;28.04.2022;-0,4
Kjevik;SN39040;29.04.2022;2
Kjevik;SN39040;30.04.2022;-1
Kjevik;SN39040;01.05.2022;0,3
Kjevik;SN39040;02.05.2022;0,2
Kjevik;SN39040;03.05.2022;-0,7
Kjevik;SN39040;04.05.2022;-0,8
Kjevik;SN39040;05.05.2022;7,3
Kjevik;SN39040;06.05.2022;8,7
Kjevik;SN39040;07.05.2022;7,7
Kjevik;SN39040;08.05.2022;-0,1
Kjevik;SN39040;09.05.2022;0,6
Kjevik;SN39040;10.05.2022;5,6
Kjevik;SN39040;11.05.2022;8,6
Kjevik;SN39040;12.05.2022;8,2
Kjevik;SN39040;13.05.2022;6,8
Kjevik;SN39040;14.05.2022;9,4
Kjevik;SN39040;15.05.2022;3,4
Kjevik;SN39040;16.05.2022;7,6
Kjevik;SN39040;17.05.2022;3,1
Kjevik;SN39040;18.05.2022;5,6
